QuestionID,ChapterID,SubtopicID,QuestionNo,Question,OptionA,OptionB,OptionC,OptionD,Year,Answer,Explanation,HasImage
2434,41,140,39,"In reaction sequence
molecule ' $\mathrm{M}$ ' and reagent ' $\mathrm{R}$ ' respectively are",$\mathrm{CH}_3 \mathrm{CH}_2 \mathrm{Cl}$ and $\mathrm{NaOH}$,$\mathrm{CH}_3 \mathrm{CH}_2 \mathrm{OH}$ and $\mathrm{H}_2 \mathrm{SO}_4$,$\mathrm{CH}_2 \mathrm{Cl}-\mathrm{CH}_2 \mathrm{OH}$ and aqueous $\mathrm{NaHCO}_3$,<smiles>C1COC1</smiles>,1997-01-01,c,"We know that
<smiles>C=C[C+](Cl)(CCl)CNC(=O)C(CO)CO</smiles>
$\mathrm{M}=\mathrm{CH}_2 \mathrm{OH}-\mathrm{CH}_2 \mathrm{Cl}$ and $\mathrm{R}=\mathrm{NaHCO}_3$",True
2676,46,156,15,". For the reaction $2 \mathrm{~N}_2 \mathrm{O}_5 \rightarrow 4 \mathrm{NO}_2+\mathrm{O}_2$, rate and rate constant are $1.02 \times 10^{-4} \mathrm{~mol} \mathrm{lit}^{-1} \mathrm{~s}^{-1}$ and $3.4 \times 10^{-5} \mathrm{~s}^{-1}$ respectively then concentration of $\mathrm{N}_2 \mathrm{O}_5$ at that time will be",(a) $1.732 \mathrm{M}$,(b) $3 \mathrm{M}$,(c) $3.4 \times 10^5 \mathrm{M}$,(d) $1.02 \times 10^{-4} \mathrm{M}$,2001-01-01,b,". (b) $2 \mathrm{~N}_2 \mathrm{O}_5 \rightarrow 4 \mathrm{NO}_2+\mathrm{O}_2$
From the unit of rate constant, it is clear that the reaction follow first order kinetics. Hence, by rate law equation, $\quad r=k\left[\mathrm{~N}_2 \mathrm{O}_5\right]$
where $r=1.02 \times 10^{-4}, k=3.4 \times 10^{-5}$
$1.02 \times 10^{-4}=3.4 \times 10^{-5}\left[\mathrm{~N}_2 \mathrm{O}_5\right]$
$\left[\mathrm{N}_2 \mathrm{O}_5\right]=3 \mathrm{M}$",False
2747,48,162,1, Which one is malachite from the following ?,(a) $\mathrm{CuFeS}_{2}$,(b) $\mathrm{Cu}(\mathrm{OH})_{2}$,(c) $\mathrm{Fe}_{3} \mathrm{O}_{4}$,(d) $\mathrm{CuCO}_{3} \cdot \mathrm{Cu}(\mathrm{OH})_{2}$,2015-01-01,d,Molachite is a green copper carborate hydroxide mineral with chemical composition $\mathrm{CuCO}_{3} \cdot \mathrm{C}_{4}(\mathrm{OH})_{2}$.,False
2825,49,166,61,Hypo is used in photography to,(a) reduce $\mathrm{AgBr}$ grains to metallic silver,(b) convert metallic silver to silver salt,(c) remove undecomposed silver bromide as a soluble complex,(d) remove reduced silver,1988-01-01,c,". (c) Undecomposed $\mathrm{AgBr}$ forms a soluble complex with hypo
$$
\mathrm{AgBr}+2 \mathrm{Na}_2 \mathrm{~S}_2 \mathrm{O}_3 \rightarrow \mathrm{Na}_3\left[\mathrm{Ag}\left(\mathrm{S}_2 \mathrm{O}_3\right)_2\right]+\mathrm{NaBr}
$$
soluble complex",False
2963,51,172,19,Which of the following coordination compounds would exhibit optical isomerism?,pentaamminenitrocobalt(III) iodide,diamminedichloroplatinum(II), trans-dicyanobis (ethylenediamine) chromium (III) chloride,tris-(ethylendiamine) cobalt (III) bromide,2004-01-01,d,"The optical isomers are pair of molecules which are non superimposable mirror images of each other.

The two optically active isomers are collectively called enantiomers",True
3101,53,178,14,Propan - 1- ol may be prepared by the reaction of propene with,$\mathrm{H}_3 \mathrm{BO}_3$,$\mathrm{H}_2 \mathrm{SO}_4 / \mathrm{H}_2 \mathrm{O}$,"$\mathrm{B}_2 \mathrm{H}_6, \mathrm{NaOH}-\mathrm{H}_2 \mathrm{O}_2$",<smiles>CC(=O)OO</smiles>,2000-01-01,c,"14. (c)
$$
\mathrm{CH}_3-\mathrm{CH}=\mathrm{CH}_2 \underset{\mathrm{NaOH} / \mathrm{H}_2 \mathrm{O}_2}{\stackrel{\mathrm{B}_2 \mathrm{H}_6}{\longrightarrow}} \underset{\text { Propanol }}{\mathrm{CH}_3}-\underset{\mathrm{CH}_2}{\mathrm{CH}_2}-\mathrm{OH}
$$",True
3124,53,179,37,"Consider the following reaction:
Phenol $\stackrel{\mathrm{Zn} \text { dust }}{\longrightarrow} \mathrm{X}$
Alkaline $\mathrm{KMnO}_4 \longrightarrow \mathrm{Z}$
The product $Z$ is:",benzaldehyde,benzoic acid,benzene,toluene,2009-01-01,b,"37. (b)
<smiles>[X]c1ccccc1</smiles>
Phenol
<smiles>O=C(O)c1ccccc1</smiles>",True
3155,54,181,7,The catalyst used in Rosenmund's reduction is,$\mathrm{HgSO}_4$,$\mathrm{Pd} / \mathrm{BaSO}_4$,anhydrous $\mathrm{AlCl}_3$,anhydrous $\mathrm{ZnCl}_2$,2000-01-01,b,"7. (b) Catalyst used in Rosenmund reduction is $\mathrm{Pd} /$ $\mathrm{BaSO}_4$. Rosenmund Reduction is used for reduction of acid chloride.
$$
\mathrm{R}-\mathrm{C}-\mathrm{Cl} \stackrel{\mathrm{Pd} / \mathrm{BaSO}_4}{\longrightarrow} \mathrm{R}-\stackrel{\mathrm{C}}{\mathrm{C}}-\mathrm{H}
$$",True
3300,55,186,53,Diazo coupling is useful to prepare some,(a) Pesticides,(b) dyes,(c) proteins,(d) vitamins,1994-01-01,b,. (b) Azo dyes can be prepared by diazotizing an aromatic amine and subsequent coupling with a suitable aromatic phenol or amine,True
3433,59,195,18,Emission of an alpha particle leads to a,(a) Decrease of 2 units in the charge of the atom,(b) Increase of 2 units in the mass of the atom,(c) Decrease of 2 units in the mass of the atom,(d) Increase of 4 units in the mass of the atom.,1989-01-01,a, Emission of $\alpha$-particle $\left({ }_{2}^{4} \mathrm{He}\right)$ leads to decrease of 2 units of charge. e.g. 92 U238 →90 Th 234 +2 He4,False
3544,61,201,69,Protists obtain food as,"photosynthesisers, symbionts and holotrophs",photosynthesisers,chemosynthesisers, holotrophs,1994-01-01,a,"Members of kingdom Protista have diverse mode of nutrition. They are photosynthetic, saprophytic, parasitic and ingestive. They are major heterotrophs.",False
3549,61,201,74,"Plasmodium, the malarial parasite, belongs to class",Sarcodina,Ciliata,Sporozoa,Dinophyceae,1990-01-01,c,Plasmodium belongs to class Sporozoa of protozoan protists. It is an endoparasite lacking any locomotory structure and contractile vacules. It reproduces through spore formation.,False
3610,61,204,135,"
 Which one single organism or the pair of organisms is correctly assigned to its taxonomic group?", Paramoecium and Plasmodium belong to the same kingdom as that of Penicillium,Lichen is a composite organism formed from the symbiotic association of an algae and a protozoan,Yeast used in making bread and beer is a fungus,Nostoc and Anabaena are examples of protista,2012-01-01,c,Saccharomyces cervisiae is a yeast used in making bread (Baker's yeast) and commercial production of ethanol.Paramoecium \& Plasmodium are of animal kingdom while Pencillium is a fungi. Lichen is composite organism formed from the symbiotic association of an algae and a fungus. Nostoc \& Anabaena are examples of kingdom monera.,False
3639,62,205,23,Brown algae is characterised by the presence of,(a) phycocyanin,(b) phycoerythrin,(c) fucoxanthin,(d) haematochrome,1997-01-01,c,Fucoxanthin is a caretenoid pigment present besides chlorophyll in brown algae. Phycoerythrins are accessory photosynthetic pigments along with phycocyanins. They both are water soluble pigments phycobilin. Haematochrome is a red pigment present in hypnospores (non-motile resting spores) of Chlamydomonas.,False
3711,62,208,95,"The gametophyte is not an independent, free living generation in :",(a) Polytrichum,(b) Adiantum,(c) Marchantia,(d) Pinus,2011-01-01,d,"Unlike bryophytes and pteridophytes, in gymnosperms the male and female gametophytes do not have an independent free-living existence. They remain within the sporangia retained on the sporophytes.",False
3942,64,218,29,"Among bitter gourd, mustard, brinjal, pumpkin, china rose, lupin, cucumber, sunhemp, gram, guava, bean, chilli, plum, petunia, tomato, rose, withania, potato, onion, aloe and tulip how many plants have hypogynous flower?",Ten, Fifteen,Eighteen,$\mathrm{Six}$,2013-01-01,b," Mustard (cruciferae), brinjal (solanaceae) china rose (malvaceae), lupin (leguminosae), gram (leguminosae), bean (leguminosae), chilli, Petunia, potato, tomato, Withania (solanaceae), onion, Aloe, tulip (liliaceae) have hypogynous flower while bittergourd, cucumber (cucurbitaceae), guava (myrtaceae) have epigynous flower and rose has perigynous flower.",False
4085,65,223,66,A bicollateral vascular bundle is characterised by,(a) Phloem being sandwiched between xylem,(b) Transverse splitting of vascular bundle,(c) Longitudinal splitting of vascular bundle,(d) Xylem being sandwiched between phloem,1992-01-01,d, Bicollateral vascular bundles have phloem in both outer and inner side of xylem. These type of bundles occur in cucurbitaceae.,False
4337,68,236,43,Two free ribonucleotide units are interlinked with,(a) peptide bond,(b) covalent bond,(c) hydrogen bond,(d) phosphodiester bond,1995-01-01,d,"43. (d) In a phosphodiester bond, linkage takes place between the phosphate group of one nucleotide and the hydroxyl group of sugar (ribose or deoxyribose) of the adjacent nucleotide.",False
4383,69,239,3, Cells in $\mathrm{G}_0$ phase :, exit the cell cycle, enter the cell cycle,suspend the cell cycle,terminate the cell cycle,2019-01-01,a," $\mathrm{G}_0$ or resting phase is a non-growing state distinct from interphase. It is a period in the cell cycle in which cells exist in a quiescent state. It is viewed as either an extended $G_1$ phase, where the cell is neither dividing nor preparing to divide, or a distinct quiescent stage that occurs outside of the cell cycle.",False
4391,69,239,11, In the somatic cell cycle,In $\mathrm{G}_1$ phase DNA content is double the amount of DNA present in the original cell,DNA replication takes place in S-phase,a short interphase is followed by a long mitotic phase,$\mathrm{G}_2$ phase follows mitotic phase,2004-01-01,b,"DNA replication is restricted to Sphase of interphase. $G_2$ phase is followed by the mitotic phase which is shorter than the interphase. In $\mathrm{G}_2$ phase, DNA content is double than the amount present in the original cell.",False
4546,71,249,46,Which of the following is a symbiotic nitroger fixer?,Azotobacter,Frankia,Azolla,Glomus,2009-01-01,b,Frankia is a symbiotic nitrogen fixer in root nodules of several non-legume plants like Casurina and Alnus.,False
5837,87,295,54," During DNA replication, Okazaki fragments are used to elongate:",The lagging strand towards replication fork., The leading strand away from replication fork., The lagging strand away from the replication fork., The leading strand towards replication fork.,2017-01-01,c,"Two DNA polymerase molecules simultaneously work at the DNA fork, one on the leading strand and the other on the lagging strand.DNA polymerase synthesizes each Okazaki fragment at lagging strand in $5^{\prime}-3^{\prime}$ direction. As the replication fork opens further, new Okazaki fragments appear. The first Okazaki fragment appears away from the replication fork and thus the direction of elongation would be away from replication fork.",False
5844,87,295,61,Removal of introns and joining of exons in a defined order during transcription is called :,Looping, Inducing,Slicing,Splicing,2012-01-01,d,Removal of introns by spliceosome in hnRNA and joining of exons by DNA liagse in a defined order during transcription is called splicing.,False
6231,90,304,8,Which one of the following is a viral disease of poultry?,(a) Coryza,(b) New castle disease,(c) Pasteurellosis,(d) Salmonellosis.,2007-01-01,c,"8. (b) New castle disease (ND) is a highly contagious, generalised viral disease of domestic poultry and wild birds characterised by gastrointestinal, respiratory and nervous signs.
New castle disease is caused by the virus belongs to Paramyxoviruses.",False
6679,96,318,12,The highest number of species in the world is represented by,Fungi,Mosses,Algae,Lichens,2012-01-01,a,Recent estimate suggests that 5.1 million fungal species exists.,False
6851,97,323,103,"Global agreement in specific control strategies to reduce the release of ozone depleting substances, was adopted by",(a) The Montreal Protocol,(b) The Kyoto Protocol,(c) The Vienna Convention,(d) Rio de Janeiro Conference,2009-01-01,a," Global agreement in specific control strategies to reduce the release of ozone depleting substances was adopted by the Montreal protocol. The treaty was originally signed in 1987 and substantially amended in 1990 and 1992. The Montreal protocol stipulates that the production and consumption of compounds that deplete ozone in the stratosphere, chlorofluoro carbons (CFCs), halogens, carbon tetrachloride, and methyl chloroform- are to be phased out by 2000 (2005 for methyl chloroform).",False
7055,4,13,21,One end of string of length $l$ is connected to a particle of mass ' $\mathrm{m}$ ' and the other end is connected to a small peg on a smooth horizontal table. If the particle moves in circle with speed ' $v$ ' the net force on the particle (directed towards centre) will be ( $\mathrm{T}$ represents the tension in the string) :," $\mathrm{T}+\frac{\mathrm{mv}^2}{l}$
 
",$\mathrm{T}-\frac{\mathrm{mv}^2}{l}$,zero,$\mathrm{T}$,2015-01-01,d,"Net force on particle in uniform circular motion is centripetal force $\left(\frac{m v^2}{\ell}\right)$ which is provided by tension in string so the net force will be equal to tension i.e., T.
The contact force between $\mathrm{A}$ and $\mathrm{B}$
$$
=\left(\mathrm{m}_{\mathrm{B}}+\mathrm{m}_{\mathrm{C}}\right) \times \mathrm{a}=(2+1) \times 2=6 \mathrm{~N}
$$
$$
\begin{array}{|c|c}
\hline F-f \quad m_2 a & a=\frac{F}{m_1+m_2+m_3} \\
\hline f_1-f_2 m_2 a & f_1=\frac{\left(m_2+m_3\right) F}{m_1+m_2+m_3} \\
\hline f_2=m_2 a & f_2=\frac{m_3 F}{m_1+m_2+m_3} \\
=\frac{\mathrm{m}_1 \mathrm{~g}-\mu\left(\mathrm{m}_2+\mathrm{m}_3\right) \mathrm{g}}{\left(\mathrm{m}_1+\mathrm{m}_2+\mathrm{m}_3\right)}=\frac{\mathrm{g}}{3}(1-2 \mu) \\
\left(\because \mathrm{m}_1=\mathrm{m}_2=\mathrm{m}_3=\mathrm{m} \text { given }\right)
\end{array}
$$",False
7121,5,17,22,. A particle of mass $m_1$ is moving with a velocity $v_1$ and another particle of mass $m_2$ is moving with a velocity $v_2$. Both of them have the same momentum but their different kinetic energies are $\mathrm{E}_1$ and $\mathrm{E}_2$ respectively. If $m_1>m_2$ then,$E_1=E_2$,$E_1<E_2$,$\frac{E_1}{E_2}=\frac{m_1}{m_2}$,$E_1>E_2$,2004-01-01,b,"22. (b) $E=\frac{p^2}{2 m}$
or, $E_1=\frac{p_1^2}{2 m_1}, E_2=\frac{p_2^2}{2 m_2}$
or, $m_1=\frac{p_1^2}{2 E_1}, m_2=\frac{p_2^2}{2 E_2}$
$m_1>m_2 \Rightarrow \frac{m_1}{m_2}>1$
$\therefore \frac{p_1^2 E_2}{E_1 P_2^2}>1 \Rightarrow \frac{E_2}{E_1}>1 \quad\left[\because p_1=p_2\right]$
or, $E_2>E_1$
$\frac{3}{3}$
Kinetic energy of body of mass $m$ moving with velocity $v$ is
$$
\begin{aligned}
\text { K.E. } & =\frac{1}{2} m v^2 \\
\Rightarrow \text { K.E. } & =\frac{1}{2} \frac{m v^2 \times m}{m}
\end{aligned}
$$
[Multiplying both numerator and denominator by $m$ ]
$$
\begin{aligned}
& \Rightarrow \text { K.E. }=\frac{1}{2} \frac{m^2 v^2}{m} \\
& \Rightarrow \text { K.E. }=\frac{1}{2} \frac{p^2}{m} \quad[\because \text { Momentum, } P=m v] \\
& \Rightarrow P^2=2 m \text { K.E. } \\
& \Rightarrow P=\sqrt{2 m K . E .}
\end{aligned}
$$",False
7158,5,19,59,"An explosion blows a rock into three parts. Two parts go off at right angles to each other. These two are, $1 \mathrm{~kg}$ first part moving with a velocity of $12 \mathrm{~ms}^{-1}$ and $2 \mathrm{~kg}$ second part moving with a velocity of $8 \mathrm{~ms}^{-1}$. If the third part flies off with a velocity of $4 \mathrm{~ms}^{-1}$, its mass would be:",$7 \mathrm{~kg}$,$17 \mathrm{~kg}$,$3 \mathrm{~kg}$,$5 \mathrm{~kg}$,2009-01-01,d,"59. (d) Momentum of first part
$\Rightarrow 1 \times 12=12$
Momentum of second part
$\Rightarrow 2 \times 8=16$
Resultant momentum,
$$
=\sqrt{(12)^2+(16)^2}=20
$$
Then $\mathrm{M}_1$ be the mass of third part,
$$
\begin{aligned}
& M \cdot 4=20 \\
& M=\frac{20}{4}=5 \mathrm{~kg}
\end{aligned}
$$
Let two parts of the rock move along $x$-axis and $y$ axis respectively.
If $\mathrm{M}$ and $v$ be the mass and velocities of third part then
Mv $\cos \theta=12$
Mv $\sin \theta=16$
$\tan \theta=\frac{16}{12}=\frac{4}{3}$
$\cos \theta=\frac{3}{5}$
$v=4 \mathrm{~m} / \mathrm{s}$
$\mathrm{M}=\frac{12}{v \cos \theta}$
$\mathrm{M}=\frac{12 \times 5}{4 \times 3}=\frac{60}{12}=5 \mathrm{~kg}$",True
7178,6,20,7,"If the linear density (mass per unit length) of a rod of length $3 \mathrm{~m}$ is proportional to $x$, where $x$ is the distance from one end of the rod, the distance of the centre of gravity of the rod from this end is",$2.5 \mathrm{~m}$,$1 \mathrm{~m}$,$1.5 \mathrm{~m}$,$2 \mathrm{~m}$,2002-01-01,d,"(d) Consider an element of length $\mathrm{dx}$ at a distance $x$ from end $A$.
Here, mass per unit length $\lambda$ of rod
$$
\begin{aligned}
& \lambda \propto x \Rightarrow \lambda=k x \\
& \therefore d m=\lambda d x=k x d x
\end{aligned}
$$
Position of centre of gravity of rod from end $A$.
$$
x_{C G}=\frac{\int_0^L x d m}{\int_0^L d m}
$$
$$
\therefore x_{C G}=\frac{\int_0^3 x(k x d x)}{\int_0^3 k x d x}=\frac{\left[\frac{x^3}{3}\right]_0^3}{\left[\frac{x^2}{2}\right]_0^3}=\frac{\frac{(3)^3}{3}}{\frac{(3)^3}{2}}=2 m
$$",True
7190,6,22,19,Find the torque about the origin when a force of $3 \hat{\mathrm{j}} \mathrm{N}$ acts on a particle whose position vector is $2 \hat{\mathrm{k}} \mathrm{m}$.,$6 \hat{\mathrm{j}} \mathrm{Nm}$,$-6 \hat{\mathrm{i}} \mathrm{Nm}$,$6 \hat{\mathrm{k}} \mathrm{Nm}$,$6 \hat{\mathrm{i}} \mathrm{Nm}$,2020-01-01,b,"(b) Given :
Force, $\vec{F}=3 \hat{j} \mathrm{~N}$
Position vector, $\vec{r}=2 \hat{k} \mathrm{~m}$
Torque, $\vec{\tau}=\vec{r} \times \vec{F}=2 \hat{k} \times 3 \hat{j}=6(\hat{k} \times \hat{j})=6(-\hat{i})$ $\Rightarrow \vec{\tau}=-6 \hat{i} \mathrm{Nm}$",False
7290,7,28,27,Dependence of intensity of gravitational field (E) of earth with distance $(r)$ from centre of earth is correctly represented by:,IMG,IMG,IMG,IMG,2014-01-01,b,"(b) First when $(r<R) \mathrm{E} \propto r$ and then when $r \geq$ Gravitation
99
$\mathrm{R} E \propto \frac{1}{\mathrm{r}^2}$. Hence graph (b) correctly dipicts.
离
The field strength of uniform solid sphere within it decreases linearly with ' $r$ ' and becomes zero as we reach at the centre of the sphere.",True
7292,7,28,29,"Infinite number of bodies, each of mass $2 \mathrm{~kg}$ are situated on $x$-axis at distances $1 \mathrm{~m}, 2 \mathrm{~m}, 4 \mathrm{~m}$, $8 \mathrm{~m}, \ldots . .$. respectively, from the origin. The resulting gravitational potential due to this system at the origin will be",$-\frac{8}{3} \mathrm{G}$,$-\frac{4}{3} \mathrm{G}$,$-4 \mathrm{G}$, $-\mathrm{G}$,2013-01-01,c,"Gravitational potential $V=\frac{-\mathrm{Gm}}{\mathrm{r}}$
$$
\begin{aligned}
& V_0=-\frac{G \times 2}{1}-\frac{G \times 2}{2}-\frac{G \times 2}{4}-\frac{G \times 2}{8}--\infty \\
& V_0=-2 G\left1+\frac{1}{2}+\frac{1}{4}+\frac{1}{8}+\ldots \infty\right \\
& V_0=-2 G \times \frac{1}{\left(1-\frac{1}{2}\right)}=-2 G \times \frac{1}{\frac{1}{2}}=-4 G .
\end{aligned}
$$",False
7725,16,58,33," A series combination of $n_1$ capacitors, each of value $C_1$, is charged by a source of potential difference $4 \mathrm{~V}$. When another parallel combination of $n_2$ capacitors, each of value $C_2$, is charged by a source of potential difference $V$, it has the same (total) energy stored in it, as the first combination has. The value of $C_2$, in terms of $C_1$, is then", $\frac{2 C_1}{n_1 n_2}$,$16 \frac{n_2}{n_1} C_1$,$2 \frac{n_2}{n_1} C_1$,$\frac{16 C_1}{n_1 n_2}$,2010-01-01,d,"In series, $\mathrm{C}_{\mathrm{eff}}=\frac{C_1}{n_1}$
$\therefore \quad$ Energy stored,
$E_S=\frac{1}{2} C_{e f f} V_S^2=\frac{1}{2} \frac{C_1}{n_1} 16 V^2$
$=8 V^2 \frac{C_1}{n_1}$
In parallel, $\mathrm{C}_{\mathrm{eff}}=\mathrm{n}_2 \mathrm{C}_2$
$\therefore \quad$ Energy stored, $\mathrm{E}_{\mathrm{p}}=\frac{1}{2} \mathrm{n}_2 \mathrm{C}_2 \mathrm{~V}^2$
According to question $\mathrm{E}_{\mathrm{s}}=\mathrm{E}_{\mathrm{p}}$
$\therefore \quad \frac{8 V^2 C_1}{n_1}=\frac{1}{2} n_2 C_2 V^2$
$\Rightarrow C_2=\frac{16 C_1}{n_1 n_2}$",False
7748,17,59,7, Across a metallic conductor of non-uniform cross section a constant potential difference is applied. The quantity which remains constant along the conductor is :,(a) current,(b) drift velocity,(c) electric field,(d) current density,2015-01-01,a,"Here, metallic conductor can be considered as the combination of various conductors connected in series. And in series combination current remains same.![](https://cdn.mathpix.com/cropped/2023_09_25_e1fa578c1ff6396d9581g-217.jpg?height=225&width=353&top_left_y=863&top_left_x=455)",True
7801,17,61,60,"The potential difference between the terminals of a cell in an open circuit is $2.2 \mathrm{~V}$. When a resistor of $5 \Omega$ is connected across the terminals of the cell, the potential difference between the terminals of the cell is found to be $1.8 \mathrm{~V}$. The internal resistance of the cell is",(a) $\frac{7}{12} \Omega$,(b) $\frac{10}{9} \Omega$,(c) $\frac{9}{10} \Omega$,(d) $\frac{12}{7} \Omega$,2002-01-01,b," $E=V+i r$

$2.2=1.8+\frac{1.8}{5} \times r$

$\Rightarrow \quad r=\frac{10}{9} \Omega$
",False
7897,18,65,41,"A current loop consists of two identical semicircular parts each of radius $R$, one lying in the $x-y$ plane and the other in $x=z$ plane. If the current in the loop is $i$., the resultant magnetic field due to the two semicircular parts at their common centre is",$\frac{\mu_0 i}{\sqrt{2} R}$,$\frac{\mu_0 i}{2 \sqrt{2} R}$,$\frac{\mu_0 i}{2 R}$,$\frac{\mu_0 i}{4 R}$,2010-01-01,b,"Magnetic fields due to the two parts at their common centre are respectively,
$$
B_y=\frac{\mu_0 i}{4 R} \text { and } B_z=\frac{\mu_0 i}{4 R}
$$",True
7971,19,70,27,"When a horizontal field of 18 microtesla is produced opposite to the earth's field by placing a current carrying wire, the new time period of magnet will be",$1 \mathrm{~s}$,$2 \mathrm{~s}$,$3 s$,$4 \mathrm{~s}$,2010-01-01,d,"(d) Time period of a vibration magnetometer,
$T \propto \frac{1}{\sqrt{B}} \Rightarrow \frac{T_1}{T_2}=\sqrt{\frac{B_2}{B_1}}$
$\Rightarrow T_2=T_1 \sqrt{\frac{B_1}{B_2}}=2 \sqrt{\frac{24 \times 10^{-6}}{6 \times 10^{-6}}}=4 \mathrm{~s}$",False
8033,21,74,21,"A coil has resistance $30 \mathrm{ohm}$ and inductive reactance $20 \mathrm{ohm}$ at $50 \mathrm{~Hz}$ frequency. If an ac source, of 200 volt, $100 \mathrm{~Hz}$, is connected across the coil, the current in the coil will be",$4.0 \mathrm{~A}$,$8.0 \mathrm{~A}$,$\frac{20}{\sqrt{13}} \mathrm{~A}$,$2.0 \mathrm{~A}$,2011-01-01,a," If $\omega=50 \times 2 \pi$ then $\omega \mathrm{L}=20 \Omega$
If $\omega^{\prime}=100 \times 2 \pi$ then $\omega^{\prime} \mathrm{L}=40 \Omega$
Current flowing in the coil is
$I=\frac{200}{Z}=\frac{200}{\sqrt{\mathrm{R}^2+\left(\omega^{\prime} \mathrm{L}\right)^2}}=\frac{200}{\sqrt{(30)^2+(40)^2}}$
$\mathrm{I}=4 \mathrm{~A}$.",False
8185,24,84,19,If yellow light emitted by sodium lamp in Young's double slit experiment is replaced by a monochromatic blue light of the same intensity,fringe width will decrease,finge width will increase,fringe width will remain unchanged,fringes will become less intense,1992-01-01,a,"19. (a) As $\beta=\frac{\lambda D}{d}$ and $\lambda_b<\lambda_y$, Fringe width $\beta$ will decrease",False
8249,25,87,44,Monochromatic light of wavelength $667 \mathrm{~nm}$ is produced by a helium neon laser. The power emitted is $9 \mathrm{~mW}$. The number of photons arriving per sec on the average at a target irradiated by this beam is:,(a) $3 \times 10^{16}$,(b) $9 \times 10^{15}$,(c) $3 \times 10^{19}$,(d) $9 \times 10^{17}$,2009-01-01,a,"(a) $\lambda=667 \times 10^{-9} \mathrm{~m}, \mathrm{P}=9 \times 10^{-3} \mathrm{~W}$

$\mathrm{P}=\frac{\mathrm{Nhc}}{\lambda}, \mathrm{N}=$ No. of photons emitted $/ \mathrm{sec}$.

$$
\begin{aligned}
& \mathrm{N}=\frac{9 \times 10^{-3} \times 667 \times 10^{-9}}{6.6 \times 10^{-34} \times 3 \times 10^{8}} \\
& =\frac{9 \times 6.67 \times 10^{-10}}{3 \times 6.6 \times 10^{-26}} \simeq 3 \times 10^{16} / \mathrm{sec}
\end{aligned}
$$",False
8403,27,92,70," Two radioactive nuclei $P$ and $Q$, in a given sample decay into a stable nucleus $R$. At time $t=0$, number of $\mathrm{P}$ species are $4 \mathrm{~N}_{0}$ and that of $\mathrm{Q}$ are $\mathrm{N}_{0}$. Half-life of $\mathrm{P}$ (for conversion to $\mathrm{R}$ ) is 1 minute where as that of $Q$ is 2 minutes. Initially there are no nuclei of $\mathrm{R}$ present in the sample. When number of nuclei of $\mathrm{P}$ and $\mathrm{Q}$ are equal, the number of nuclei of $\mathrm{R}$ present in the sample would be",(a) $3 \mathrm{~N}_{0}$,(b) $\frac{9 \mathrm{~N}_{0}}{2}$,(c) $\frac{5 \mathrm{~N}_{0}}{2}$,(d) $2 \mathrm{~N}_{0}$,2011-01-01,b,"
$$
\mathrm{Q} \rightarrow \mathrm{N}_{0}
$$

Halflife $\mathrm{T}_{\mathrm{P}}=1 \mathrm{~min}$.

$\mathrm{T}_{\mathrm{Q}}=2$ min.

Let after time $t$ number of nuclei of $P$ and $Q$ are equal, that is

$$
Initially $\mathrm{P} \rightarrow 4 \mathrm{~N}_{0}$\begin{aligned}
& \frac{4 \mathrm{~N}_{0}}{2^{\mathrm{t} / 1}}=\frac{\mathrm{N}_{0}}{2^{\mathrm{t} / 2}} \\
& \Rightarrow \frac{4 \mathrm{~N}}{2^{\mathrm{t} / 1}}=\frac{1}{2^{\mathrm{t} / 2}} \\
& \Rightarrow 2^{\mathrm{t} / 1}=4 \cdot 2^{\mathrm{t} / 2} \\
& 2^{2} \cdot 2^{\mathrm{t} / 2}=2^{(2+\mathrm{t} / 2)}
\end{aligned}
$$

$\Rightarrow \frac{\mathrm{t}}{1}=2+\frac{\mathrm{t}}{2} \Rightarrow \frac{\mathrm{t}}{2}=2$

$\Rightarrow \mathrm{t}=4 \mathrm{~min}$

$\mathrm{N}_{\mathrm{P}}=\frac{\left(4 \mathrm{~N}_{0}\right)}{2^{4 / 1}}=\frac{\mathrm{N}_{0}}{4}$

at $\mathrm{t}=4 \mathrm{~min}$.

$\mathrm{N}_{0}=\frac{\mathrm{N}_{0}}{4}=\frac{\mathrm{N}_{0}}{4}$

or population of $\mathrm{R}$

$$
\begin{aligned}
& \left(4 \mathrm{~N}_{0}-\frac{\mathrm{N}_{0}}{4}\right)+\left(\mathrm{N}_{0}-\frac{\mathrm{N}_{0}}{4}\right) \\
& =\frac{9 \mathrm{~N}_{0}}{2}
\end{aligned}
$$
",False
8544,28,95,109,"The following circuit represents
",OR,XOR,AND,NAND,1999-01-01,b,"Output of upper AND gate $=A \overline{A B}$
Output of lower AND gate $=\bar{A} \cdot B$
$\therefore$ Output of OR gate, $Y=A \cdot \bar{B}+B \cdot \bar{A}$
This is Boolean expression for XOR gate.",True
